Issue key,Summary,Custom field (Release Note),Custom field (External Issue URL),Custom field (Git Pull Request),Components,is_magento
AC-10721,Upgrade the league/flysystem Composer dependencies upgrading to latest version,Upgrade the 2.x league/flysystem Composer dependencies to latest version 3.x,,<https://github.com/magento/magento2/commit/91cb4d46>,Framework,TRUE
AC-11041,Security Improvements for 2.4.8-beta1 from June 2024 release,,,,Security,FALSE
AC-11420,Set indexers appear in Ready status default when new version of Adobe Commerce is installed,"After Installation Magento, Indexer's Status must be in *Ready* state by default.",,<https://github.com/magento/magento2/commit/71432aeb>,Other,TRUE
AC-11421,In existing Magento installation when install third party indexer module set indexers in update by schedule by default.,"All new indexers are by default in [Update by Schedule] mode. Previously, the default mode was [Update on Save]. Same with custom indexers as well.",,<https://github.com/magento/magento2/commit/71432aeb>,Other,TRUE
AC-11495,2.4.8-beta1 Platform Components Upgrade,,,,Framework,FALSE
AC-11673,Investigate php-amqplib/php-amqplib latest versions,Updated the latest version php-amqplib/php-amqplib :^3.x,,<https://github.com/magento/magento2/commit/de4dfb8e>,Framework,TRUE
AC-11723,Refactoring of Integration Test framework for phpunit 10 compatibility - IntegrationTest.php not found,PHPUnit 9 is upgraded to PHPUnit 10 with Integration and WebAPI Test framework changes of Adobe Commerce. PHPUnit 10 changes are backward compatible.,,,Framework,TRUE
AC-11813,WebApi Test framework for phpunit 10 compatibility - Issue related to RabbitMQ connectivity with SOAP and B2B modules,PHPUnit 9 is upgraded to PHPUnit 10 with Integration and WebAPI Test framework changes of Adobe Commerce. PHPUnit 10 changes are backward compatible.,,,Framework,TRUE
AC-11816,Add compatibility with MySQL 8.4 LTS,,,,Framework,FALSE
AC-11864,Security Improvements for 2.4.8-beta1 from August 2024 release,,,,Security,FALSE
AC-11911,jQuery/fileuploader css cleanup after migration to uppy library,Removed jQuery/fileUploader library because it has been migrated to Uppy library,,<https://github.com/magento/magento2/commit/7cabfb46>,Framework,TRUE
AC-11995,Add compatibility with MySQL 8.4 LTS for Magento CE,,,<https://github.com/magento/magento2/commit/672a2e61>,Framework,TRUE
AC-12014,Mark elasticsearch 8 module as deprecated,,,,Framework,FALSE
AC-12015,ExtJs folder cleanup after migration to jsTree library,Removed extJs folder as the related functionality has been migrated to jsTree,,<https://github.com/magento/magento2/commit/7cabfb46>,Framework,TRUE
AC-12022,Upgrade monolog/monolog system dependency to the latest major version,"The system has been updated to use the latest major version of the ""monolog/monolog:^3.x"" library, ensuring compatibility and improved performance. Previously, the system was using an outdated version of the ""monolog/monolog"" library which could have led to potential issues and limitations.",,<https://github.com/magento/magento2/commit/edcd0dcc>,Framework,TRUE
AC-12023,Upgrade wikimedia/less.php dependency to the latest major version,"The system has been updated to use the latest major version 5.x of the ""wikimedia/less.php"" library, ensuring compatibility and up-to-date functionality. Previously, the system was using an outdated version of the library which could have led to security issues.",,<https://github.com/magento/magento2/commit/edcd0dcc>,Framework,TRUE
AC-12024,Upgrade jquery/validate library dependency to the latest minor version,Upgrade jquery/validate library dependency to the latest minor version 1.20.0,,<https://github.com/magento/magento2/commit/de4dfb8e>,Framework,TRUE
AC-12025,Upgrade moment.js system dependency to the latest minor version,Upgrade moment.js system dependency to the latest minor version 2.30.1,,<https://github.com/magento/magento2/commit/de4dfb8e>,Framework,TRUE
AC-12032,Add compatibility with MySQL 8.4 LTS for EE,,,<https://github.com/magento/magento2/commit/672a2e61>,Framework,TRUE
AC-12034,Add compatibility with MySQL 8.4 LTS for B2B,,,<https://github.com/magento/magento2/commit/672a2e61>,Framework,TRUE
AC-12074,Add compatibility with MySQL 8.4 LTS for bundle extensions,,,<https://github.com/magento/magento2/commit/672a2e61>,Framework,TRUE
AC-12085,Add compatibility with MariaDB 11.4 LTS For CE,Added MariaDB 11.4 support with Adobe Commerce and extensions,,<https://github.com/magento/magento2/commit/b34c0a75>,Framework,TRUE
AC-12165,Subscribers Optimisation - PhpUnit10,,,<https://github.com/magento/magento2/commit/90e25b6b>,Framework,TRUE
AC-12267,Support connection retries for Redis session and compatible with colinmollenhour/php-redis-session-abstract v2.0.0,Updated latest version of colinmollenhour/php-redis-session-abstract v2.0.0 compatible with adobe commerce,,<https://github.com/magento/magento2/commit/672a2e61>,Framework,TRUE
