Issue key,Summary,Custom field (External Issue URL),Custom field (Git Pull Request),Custom field (Release Note),Components,is_magento
AC-1014,Configurable product with bad behavior in front end,https://github.com/magento/magento2/issues/14296,https://github.com/magento/magento2/commit/ef666cd9,"Fixed issue where configurable products displayed incorrect frontend behavior when a color swatch attribute was included, causing pricing, dropdown layout, and required field indicators to appear improperly.
Now, configurable products render correctly with proper pricing, aligned dropdowns, and expected UI behavior.",Product,true
AC-10472,Placing an order in GraphQL succeeds with an invalid shipping method,"","https://github.com/magento/magento2/pull/38268, https://github.com/magento/magento2/commit/a8cf637b","Fixed an issue where orders could be placed via GraphQL using a disabled or invalid shipping method.
Now, the system validates the selected shipping method and returns an error if it is unavailable, preventing the order from being created.",GraphQL,true
AC-10568,"AbstractAddress setData('custom_attributes', AttributeValue[]) breaks customAttributes",https://github.com/magento/magento2/issues/31644,"","Custom attributes on addresses are now handled correctly during checkout and API operations.
Previously, using $address->setCustomAttributes('custom_attributes', $attributes) could break custom attribute handling, causing attribute values to be incorrectly structured.
AC-10568",Order,true
AC-10659,Category Products Grid > Status & Visibility Columns are empty when sorting by name,https://github.com/magento/magento2/issues/38233,https://github.com/magento/magento2/commit/3cf1a106,"Fixed an issue where the Status and Visibility columns appeared empty in the Category Products grid when sorting by product name.
The grid now correctly displays all column data after sorting, ensuring accurate product information in the admin panel.",Admin UI,true
AC-10716,[Issue] Wrong type hint for the protected member $_urlHelper,https://github.com/magento/magento2/issues/32503,https://github.com/magento/magento2/pull/32496,"The system now Fixes the wrong type hint with the correct one, that is also used in constructor",Other Developer Tools,true
AC-10722,Duplicate cache fpc for same page with same query,https://github.com/magento/magento2/issues/38269,https://github.com/magento/magento2/pull/38270,"The system now correctly identifies and uses the same Full Page Cache (FPC) for pages with the same query parameters, regardless of their order or trailing characters. This prevents unnecessary increase in the page cache folder size. Previously, the system would create a different FPC identifier for the same page if the order of the query parameters was different or if there were trailing characters, leading to an increase in the page cache folder size.",Catalog,true
AC-10843,Price assertion string mismatch when Configurable Product assigned to Test Stock and Test website with option of displaying out-of-stock products enabled,"",https://github.com/magento/inventory/commit/1ccc786b,"Updated the failing test to align with actual pricing behavior for configurable products when all child products have the same price.
The assertion now correctly validates the displayed price, preventing false test failures without impacting functionality.",Product,true
AC-10844,Missing indexing of required columns in catalog_product_entity_int table,https://github.com/magento/magento2/issues/38315,https://github.com/magento/magento2/pull/38316,Added the missing indexing of required columns in catalog_product_entity_int table,Catalog,true
AC-10847,'As low as' label is still displayed for a Configurable Product for the Test case AC-6158,"",https://github.com/magento/magento2/commit/a3b1abc2,Implemented and verified configurable products (P1–P7) with respective variations and category assignments. Ensured correct storefront price display and “As low as” label behavior for products under Category C.,Product,true
AC-10933,Compling code of disabled module.,https://github.com/magento/magento2/issues/38241,https://github.com/magento/magento2/pull/39723,This pull request escape disabled modules before code compilation.,Framework,true
AC-10980,[Issue] Cleaning up unused code.,https://github.com/magento/magento2/issues/38424,https://github.com/magento/magento2/pull/33499,The system now removes unused code regarding the unused imports.,Other Developer Tools,true
AC-11004,Exception on Storefront when Admin adds CustomerCustomAttribute block via CMS Page Content,"","","Fixed an issue where adding the CustomerCustomAttribute block via CMS page content caused a storefront exception and prevented the page from loading.
Storefront now displays normally and shows a meaningful message when the content cannot be rendered, avoiding critical errors.",Customer/ Customers,true
AC-11011,Scope bug in Catalog URL resource (_getCategories),https://github.com/magento/magento2/issues/38393,https://github.com/magento/magento2/pull/38394,This PR adds a fallback to default scope if there is no value defined on the store scope in category URL resource.,Catalog,true
AC-11389,"Wrong Order total, the round is not applied to the price calculation.",https://github.com/magento/magento2/issues/38455,https://github.com/magento/magento2/pull/39687,"The system is now correctly handles when calculating the price_after_discount, discount_amount and taxes amount.
the actual total of the order",Tax,true
AC-11487,Error when run command setup:upgrade with custom DB trigger,https://github.com/magento/magento2/issues/38481,"","Custom database triggers no longer cause errors during setup:upgrade.
Previously, running bin/magento setup:upgrade with a custom database trigger (e.g., AFTER INSERT on the store table) could result in the error:
""Warning: Trying to access array offset on value of type null in vendor/magento/framework/Mview/View/Subscription.php on line 357""
AC-11487",Framework,true
AC-11511,"Customers Now Online Admin Grid Shows Duplicate Rows Every Time a User Logs In, Then Out, Then In","",https://github.com/magento/magento2/commit/528af81a,"Fixed an issue where the Customers Now Online admin grid displayed duplicate rows when a customer logged out and logged back in.
The grid now updates the existing record with the latest activity instead of creating duplicate entries, ensuring accurate customer session tracking.",Customer/ Customers,true
AC-11576,[Issue] Fix typos in Catalog Widget template options,https://github.com/magento/magento2/issues/38185,https://github.com/magento/magento2/pull/38178,The System now fixes typos in Catalog Widget template options.,Account,true
AC-11578,[Issue] Make method signature consistent with interface,https://github.com/magento/magento2/issues/38501,https://github.com/magento/magento2/pull/31955,"The method signature for getAttributes is now consistent with its interface, preventing any errors when overwriting the method. Previously, inconsistencies in the method signature caused errors when attempting to overwrite the getAttributes method.",Framework,true
AC-11579,[Issue] Removed unnecessary spacing on backend grid,https://github.com/magento/magento2/issues/38502,https://github.com/magento/magento2/pull/32622,The system now removes unnecessary spacing in backend grid When there are selected items,Account,true
AC-11635,[Issue] Check if OpenGraph can show price,https://github.com/magento/magento2/issues/38512,https://github.com/magento/magento2/pull/38510,The system is working fine when we use plugin which hides the price and with this change price is not visible in the OG tag.,Catalog,true
AC-11657,Website/Group/Store entity form can't be extended with multiple value form element for extension attributes,https://github.com/magento/magento2/issues/24070,https://github.com/magento/magento2/pull/24094,This PR allowes multivalue form elements to submit data to website/group/store form.,Framework,true
AC-11665,[Issue] Fix parameter type,https://github.com/magento/magento2/issues/38529,https://github.com/magento/magento2/commit/64823f95,Fixed a parameter type mismatch in the Import/Export module where a value previously defined as a string is now correctly set as an array. This aligns with the expected input from the export controller and prevents static analysis warnings.,Import / export,true
AC-11689,When customer is set for quote order is still a guest order,https://github.com/magento/magento2/issues/38540,"","",Order,true
AC-11691,"Order is not complete when mixing virtual, refunded and shipped items",https://github.com/magento/magento2/issues/38547,"","Fixed an issue where orders containing virtual, refunded, and shipped items remained in processing by ensuring virtual items are included in shipped quantity calculations, allowing the order state to correctly transition to complete.",Order,true
AC-11719,[Issue] Fix validate-emails rule for ui component,https://github.com/magento/magento2/issues/38528,https://github.com/magento/magento2/pull/33470,"The system now correctly validates multiple email addresses entered in UI components, ensuring that each email is properly trimmed and validated. Previously, the system was using an incorrect method for trimming email addresses, which could lead to validation errors.",Framework,true
AC-11725,Rounding problem on prices when adding tax to display prices,https://github.com/magento/magento2/issues/18025,https://github.com/magento/magento2/pull/35730,The System now fixes Rounding problem on prices when adding tax to display prices,Catalog,true
AC-11736,[Issue] Remove scope resolver usage,https://github.com/magento/magento2/issues/38566,https://github.com/magento/magento2/pull/38554,This PR resolves the Admin URL settings globally instead of the current store,Framework,true
AC-11743,[Issue] Remove duplicated variables from one of less files,https://github.com/magento/magento2/issues/31154,https://github.com/magento/magento2/pull/31150,"The system now removes duplicated variables from less files, ensuring cleaner and more efficient code. Previously, these duplicated variables were present in the less files, leading to unnecessary redundancy in the code.",UI Framework,true
AC-11873,[Issue] Remove a duplicated <severity> tag from MFTF test AdminSetUpWatermarkForSwatchImageTest,https://github.com/magento/magento2/issues/38504,https://github.com/magento/magento2/pull/31862,"The system now only includes a single severity tag in the AdminSetUpWatermarkForSwatchImageTest, improving code clarity and consistency. Previously, this test contained two identical severity tags, which was unnecessary and could lead to confusion.",Test framework,true
AC-11915,[Issue] Remove redundant methods,https://github.com/magento/magento2/issues/29748,https://github.com/magento/magento2/pull/29147,"Code Quality: Removed redundant methods in AsynchronousOperations and Sales components that only called parent methods without adding functionality, improving code maintainability.",Framework,true
AC-11925,Price is always 0 for bundle product items without dynamic price in order rest API,https://github.com/magento/magento2/issues/38687,https://github.com/magento/magento2/commit/7da46f52,"Order REST API now returns correct prices for bundle product items without dynamic price.
Previously, when exporting orders via REST API, the price for bundle product items without dynamic pricing was always returned as 0, instead of the actual price shown on the bundle page.
AC-11925",Pricing,true
AC-11973,Place Order is not working on Proceed to checkout via Negotiable Quote with PayFlow Pro Credit Card payment method,"","","Adobe Commerce now successfully places orders when checking out from a negotiable quote using the Payflow Pro credit card payment method. Previously, when B2B features were enabled and a buyer proceeded to checkout from a negotiable quote, selecting Payflow Pro and clicking Place Order caused the page to keep loading indefinitely with no error message, and the order was never created. AC-11973",B2B,false
AC-12004,Percentage discount on tier price and catalog price rule calculated on original price without selected options.,https://github.com/magento/magento2/issues/38750,"","Percentage discounts on tier price and catalog price rules now include selected custom options.
Previously, percentage discounts were calculated on the original product price without considering selected custom options, resulting in incorrect final prices.
AC-12004",Product,true
