Issue key,Summary,Custom field (External Issue URL),Custom field (Release Note),Custom field (Git Pull Request),Components
AC-10037,[Question]Unused Type configuration in `app/code/Magento/Translation/etc/di.xml`,https://github.com/magento/magento2/issues/38030,"The system now removes unused dependencies in the configuration, enhancing the overall code cleanliness and efficiency. Previously, there were unused dependencies in the configuration which were not contributing to any functionality.",<https://github.com/magento/magento2/pull/38064>,Framework
AC-11427,[Issue] Inconsistent labels for attributes in marketing rules,https://github.com/magento/magento2/issues/31232,The system now correctly populate the labels consistently for category and attribute options in cart price rule,<https://github.com/magento/magento2/pull/31231>,Admin UI
AC-11690,JoinProcessor caching issue,https://github.com/magento/magento2/issues/27504,"The system now correctly applies the JoinProcessor for each iteration, even with consecutive calls, ensuring accurate data retrieval. Previously, the JoinProcessor was incorrectly marked as already applied in consecutive iterations, leading to errors in data retrieval.",<https://github.com/magento/magento2/pull/37550>,Order
AC-11717,Magento 2 login inside the checkout with existing customer give console error in Firefox browser,https://github.com/magento/magento2/issues/38557,"The system now allows users to log in during the checkout process without encountering any console errors in the Firefox browser. Previously, attempting to log in as an existing customer during checkout would result in a console error in Firefox.",<https://github.com/magento/magento2/pull/39509>,Cart & Checkout
AC-11755,middlename('s) not saved for guest accounts,https://github.com/magento/magento2/issues/38593,"The system now correctly saves the middle name for guest accounts during checkout, making it accessible in the email template. Previously, the middle name was not saved in the quote table and was not accessible in the email template for guest accounts.",<https://github.com/magento/magento2/pull/39067>,Account
AC-12035,[Issue] Update js.js DOM text reinterpreted as HTML,https://github.com/magento/magento2/issues/38767,"By using innerText, it will avoid the risk of HTML injection, as these properties automatically escape any HTML special characters in the provided text. This fix, helps prevent cross-site scripting (XSS) vulnerabilities by treating the input as plain text rather than interpreted HTML.","",Security
AC-12319,Hidden dropdown in grids with select action (e.g. Content > Elements > Pages),https://github.com/magento/magento2/issues/38891,Now the system has been fixed all similar dropdown for all the grids.,<https://github.com/magento/magento2/pull/39371>,Admin UI
AC-13149,[Issue] add isMultipleFiles property to image form element template,https://github.com/magento/magento2/issues/39219,"This fix, prevents the ""Browse to find or drag image here"" button to disappear when an image is added in a multiple files image form element.",<https://github.com/magento/magento2/pull/36325>,Framework
AC-13172,[Issue] Correct spelling of variables for customer address,https://github.com/magento/magento2/issues/32817,"The system now correctly spells variables for customer addresses, ensuring accurate display in the account area of the front end. Previously, incorrect spelling of these variables could lead to errors during local code reviews.",<https://github.com/magento/magento2/pull/32815>,Shipping
AC-13295,[Issue] Feature/php8.1 constructor property promotion wee graph ql,https://github.com/magento/magento2/issues/39309,Replace allmost all properties with constructor property promotion in module wee graph ql:,<https://github.com/magento/magento2/pull/36975>,Tax
AC-13414,Credit Card(Payflow Link) payment is not working,"",Earlier Getting error (Payment got Declined) while placing order with Credit Card after the fix Order placed successfully.,<https://github.com/magento/magento2/commit/a68324bc>,Payments
AC-13622,[Issue] Product layout based on attribute_set,https://github.com/magento/magento2/issues/38790,"The system now allows the adjustment of product layout based on the attribute set, providing a more practical and efficient way to manage product display in the frontend store. Previously, the layout could only be adjusted by SKU or by product types, which was not always practical for many products or specific articles.",<https://github.com/magento/magento2/pull/36244>,Catalog
AC-13628,B2B Login as Customer header still has Magento branding,"","Earlier the storefront header shows ""You are now connected as <customer name> on <store name>"" with Magento branding. Which is now fixed and the header shows with ADOBE branding.",<https://github.com/magento/magento2/commit/96dec499>,"Admin UI, B2B"
AC-13699,Papal payflow Credit card details saved for later use are not showing up on stored payment method page,"",Earlier Papal payflow Credit card details saved for later use was not showing up on stored payment method page which is now fixed credit card details are showing up on stored payment method page.,<https://github.com/magento/magento2/commit/96dec499>,"Payment/ Payment Methods, Order"
AC-13722,[Database Compare] Fatal error if database contains record about Target Rule without conditions,"",Earlier if Database contains record about the target rule without any condition was getting fatal errors but after the fix Database comparison tool passes successfully without fatal errors.,"",Test framework
