Issue key,Summary,Custom field (Release Note),Custom field (Git Pull Request),Custom field (External Issue URL),Components,is_magento
AC-10847,'As low as' label is still displayed for a Configurable Product for the Test case AC-6158,Implemented and verified configurable products (P1–P7) with respective variations and category assignments. Ensured correct storefront price display and “As low as” label behavior for products under Category C.,https://github.com/magento/magento2/commit/a3b1abc2,"",Product,true
AC-10980,[Issue] Cleaning up unused code.,The system now removes unused code regarding the unused imports.,https://github.com/magento/magento2/pull/33499,https://github.com/magento/magento2/issues/38424,Other Developer Tools,true
AC-11578,[Issue] Make method signature consistent with interface,"The method signature for getAttributes is now consistent with its interface, preventing any errors when overwriting the method. Previously, inconsistencies in the method signature caused errors when attempting to overwrite the getAttributes method.",https://github.com/magento/magento2/pull/31955,https://github.com/magento/magento2/issues/38501,Framework,true
AC-11579,[Issue] Removed unnecessary spacing on backend grid,The system now removes unnecessary spacing in backend grid When there are selected items,https://github.com/magento/magento2/pull/32622,https://github.com/magento/magento2/issues/38502,Account,true
AC-11719,[Issue] Fix validate-emails rule for ui component,"The system now correctly validates multiple email addresses entered in UI components, ensuring that each email is properly trimmed and validated. Previously, the system was using an incorrect method for trimming email addresses, which could lead to validation errors.",https://github.com/magento/magento2/pull/33470,https://github.com/magento/magento2/issues/38528,Framework,true
AC-11915,[Issue] Remove redundant methods,"Code Quality: Removed redundant methods in AsynchronousOperations and Sales components that only called parent methods without adding functionality, improving code maintainability.",https://github.com/magento/magento2/pull/29147,https://github.com/magento/magento2/issues/29748,Framework,true
AC-12302,graphql (magento 2.4.6-p4 ) - error when try to get cms page with not active status,"Fixed issue where GraphQL query for a disabled CMS page returned an internal server error.
Now, the query fetches a proper response without errors.",https://github.com/magento/magento2/commit/1b1baf1d,https://github.com/magento/magento2/issues/38877,Content,true
AC-12945,xsd validation fails on etc/adminhtml/system.xml files that contain comments below field items.,This PR fixes XML schema definitions in phpstorm for comment node,https://github.com/magento/magento2/pull/39867,https://github.com/magento/magento2/issues/39148,Framework,true
AC-13252,[Issue] Add EventPrefix and EventObject to checkout agreement model,"The system now includes EventPrefix and EventObject for the checkout agreement model, allowing events to be triggered with an event prefix. This enhancement provides more flexibility for developers when working with checkout agreement events. Previously, the checkout agreement model did not support EventPrefix and EventObject, limiting the ability to customize event handling.",https://github.com/magento/magento2/pull/32451,https://github.com/magento/magento2/issues/32510,Cart & Checkout,true
AC-13535,Minimum and maximum value validation does not work for DOB attribute on Storefront,"This bug fixed the issue where minimum and maximum date validation for the Date of Birth (DOB) attribute did not work on the storefront (though it worked in Admin).
In 2.4.9-alpha3, validation now correctly blocks saving customers with DOB outside the allowed range, showing an error message.",https://github.com/magento/magento2/commit/68a45d0a,"",Customer/ Customers,true
AC-13857,Problems with price scope and config.php,"In Magento 2.4.2, changing the price scope via config.php does not properly update the is_global value in catalog_eav_attribute for the price attribute.
As a result, product prices remain global and cannot be saved per website, even when the price scope is set to website.
The workaround requires manually updating the is_global column in the database, which is not ideal for production environments.
This behavior is consistent with Magento’s default design, where price scope is either Global or Website, but not per store view.","",https://github.com/magento/magento2/issues/33559,Catalog,true
AC-14049,Missing Billing Address Error in Admin Dashboard When Creating Order via REST API with Only Payment Information,"Fixed issue where orders could be created via API without a billing address, causing admin dashboard crashes.
Now, orders without a billing address are restricted and no longer created.",https://github.com/magento/magento2/commit/36d4d6fb,https://github.com/magento/magento2/issues/39651,APIs,true
AC-14256,"[Graphql] Cannot return null for non-nullable field ""SelectedCustomizableOption.label""",The system now will not throw internal server error with message when the selected option that no longer exists,https://github.com/magento/magento2/pull/39888,https://github.com/magento/magento2/issues/39729,Cart & Checkout,true
AC-14269,[GraphQl] Route query infinite loop,"This ticket fixed the issue where a GraphQL route query with identical Request Path and Target Path caused an infinite loop and eventually timed out.
In 2.4.9-alpha3, the query now returns the correct error response instead of looping.",https://github.com/magento/magento2/commit/68a45d0a,https://github.com/magento/magento2/issues/39707,Content,true
AC-14426,After store switch page comes from cache(Store switcher not working) in 2.4.8,"Fixed issue where switching store views from the storefront header did not work until cache was manually cleared.
Now, store view switching works correctly without requiring a cache clean.","",https://github.com/magento/magento2/issues/39806,Catalog,true
AC-14431,Magento 2.4.8 GraphQL - Order items order_date wrong formatting,"Fixed issue where the order_date field in GraphQL response returned in yyyy-mm-dd format.
Now, the order_date is displayed correctly in dd-mm-yyyy format.",https://github.com/magento/magento2/commit/a3b1abc2,https://github.com/magento/magento2/issues/39805,Order,true
AC-14463,Ignored .less styles with min-width: (@screen__l),"Fixed issue where only three products were displayed per row on category pages.
Now, four products are displayed per row as expected.",https://github.com/magento/magento2/commit/b9f5d6f7,https://github.com/magento/magento2/issues/39817,Catalog,true
AC-14495,"[2.4.8] Cannot place orders where City has digits 0-9, Ampersand, full stop or parenthesis in the City Name","Fixed issue where checkout failed for city names containing special characters like . , &, or parentheses.
Now, orders with such city names are placed successfully without validation errors.",https://github.com/magento/magento2/commit/b9f5d6f7,https://github.com/magento/magento2/issues/39854,Cart & Checkout,true
AC-14519,Magento 2.4.8 uses dev packages that don't follow semantic versioning,"Magento 2.4.8 requires dev versions of pdepend/pdepend and phpmd/phpmd (3.x-dev) for PHP 8.4 compatibility.
These dev versions conflict with third-party tools expecting SemVer-compliant packages, preventing some upgrades.
A temporary workaround is to alias the dev versions in composer.json (e.g., ""3.x-dev as 3.99.0""), allowing compatibility while satisfying semantic versioning.
This ensures PHP 8.4 support and avoids conflicts until stable releases become available.","",https://github.com/magento/magento2/issues/39796,Framework,true
AC-14563,Shipment email not sent when submitted from Admin Order view despite being enabled in store configuration,The system now send a shipment confirmation email as it is enabled in the store configuration where the order was placed.,https://github.com/magento/magento2/pull/39897,https://github.com/magento/magento2/issues/39861,Order,true
AC-14607,Wishlist count not displayed on homepage/other pages except wishlist page in customer menu,"Fixed issue where the wishlist count appeared as empty parentheses on non-wishlist pages.
Now, the correct wishlist item count is displayed next to “My Wish List” across all pages.","https://github.com/magento/magento2/commit/a3b1abc2, https://github.com/magento/magento2/commit/b3774fbe",https://github.com/magento/magento2/issues/39892,Catalog,true
AC-14682,Unable to clear wishlist item comment via `updateProductsInWishlist` GraphQL mutation,"Fixed issue where wishlist comments were not updated through GraphQL mutations.
Now, comments update correctly and reflect in both the API response and storefront.",https://github.com/magento/magento2/commit/36d4d6fb,https://github.com/magento/magento2/issues/39911,Account,true
AC-14847,catalog_product_save_before observer throws date-related error when using REST API without store-level values (getFinalPrice() issue),This PR adjusts the processing of SpecialFromDate to ensure proper formatting when the date is provided as a DateTimeInterface instance. This prevents errors arising during getFinalPrice() execution under certain scenarios.,https://github.com/magento/magento2/pull/40003,https://github.com/magento/magento2/issues/39959,Catalog,true
AC-14884,Salesrule Subselect with Quantity condition Fail to apply,"Fixed issue where cart price rules with product subselection conditions were not applying at checkout.
Now, discounts are successfully applied as per the configured rules.",https://github.com/magento/magento2/commit/fe72c407,https://github.com/magento/magento2/issues/39965,Cart & Checkout,true
AC-14888,Error getting order item discounts applied_to for customer order via GraphQl customer request,Earlier when discounts applied_to for customer order via GraphQl customer request internal server error was observed which is now fixed and proper customer order data with applied discount is fetched,https://github.com/magento/magento2/commit/fe72c407,https://github.com/magento/magento2/issues/39963,Promotion,true
AC-14889,Error getting order item coupon code for customer order via GraphQl customer request,"Fixed issue where fetching orders with coupon details via GraphQL returned an internal server error.
Now, the query executes successfully and returns the correct coupon information in the response.",https://github.com/magento/magento2/commit/fe72c407,https://github.com/magento/magento2/issues/39962,Promotion,true
AC-14958,URGENT - Cannot add product to bundle when the product to add has customizable options,"Fixed issue where products with customizable options could not be added to bundle products.
Previously, such products were excluded from the “Add Products to Option” list in bundle creation.
Now, products with customizable options can be added to bundles without including their custom options, allowing proper stock management.
This enables bundle creation without duplicating products or affecting inventory levels.","",https://github.com/magento/magento2/issues/39993,Catalog,true
AC-15037,Filtering on date does not work because of ambigous field names,"In Magento 2.4.7-p6, filtering the order grid by date was reported to cause an error due to joins with Braintree modules.
The issue involved queries joining braintree_transaction_details and sales_order tables when applying date filters.
Adobe Commerce Engineering reviewed the case but was unable to reproduce the error in the environment.
Expected behavior is that filtering by date should return orders matching the filter without errors.","",https://github.com/magento/magento2/issues/40024,Order,true
