Issue key,Summary,Custom field (External Issue URL),Custom field (Release Note),Custom field (Git Pull Request),Components,is_magento
AC-10722,Duplicate cache fpc for same page with same query,https://github.com/magento/magento2/issues/38269,"The system now correctly identifies and uses the same Full Page Cache (FPC) for pages with the same query parameters, regardless of their order or trailing characters. This prevents an unnecessary increase in the page cache folder size. Previously, the system would create a different FPC identifier for the same page if the order of the query parameters was different or if there were trailing characters, leading to an increase in the page cache folder size.",https://github.com/magento/magento2/pull/38270,Catalog,true
AC-10844,Missing indexing of required columns in catalog_product_entity_int table,https://github.com/magento/magento2/issues/38315,Added the missing indexing of required columns in catalog_product_entity_int table,https://github.com/magento/magento2/pull/38316,Catalog,true
AC-10933,Compiling code of disabled module.,https://github.com/magento/magento2/issues/38241,This pull request escapes disabled modules before code compilation.,https://github.com/magento/magento2/pull/39723,Framework,true
AC-11973,Place Order is not working on Proceed to checkout via Negotiable Quote with PayFlow Pro Credit Card payment method,"","","",B2B,false
AC-12124,[Random Bug] Fotorama lib isn't loaded,"","The system now ensures that the Fotorama library is properly loaded, allowing all attached images to be displayed in the image gallery as expected. Previously, only the first image was visible due to an issue with the Fotorama library not loading correctly.","https://github.com/magento/magento2/commit/45b51c9c, https://github.com/magento/magento2/commit/27217d0e","Catalog, Product",true
AC-12783,Lighthouse Accessibility failure,https://github.com/magento/magento2/issues/39054,The System now Pass with Accessibility score of 100,https://github.com/magento/magento2/pull/39164,Other Developer Tools,true
AC-12856,Magento_Theme title.phtml template invalid for PHP 8.2,https://github.com/magento/magento2/issues/39092,This pull request fixes an issue when CMS page created with the null heading as in Php 8.x passing null to trim() throws Exception: Deprecated Functionality: trim(): Passing null to parameter #1 ($string) of type string,https://github.com/magento/magento2/pull/39398,Framework,true
AC-13055,Product Collection - addMediaGalleryData calls getSize when the collection maybe or will be loaded (Can use count to avoid an extra DB query),https://github.com/magento/magento2/issues/39111,This PR reduces the extra query call using count() if the product collection is already loaded when calling Product Graphql with media_gallery field included in it.,https://github.com/magento/magento2/pull/39681,Product,true
AC-13069,Putting csp_whitelist.xml in theme does not work and creates intermittent issue,https://github.com/magento/magento2/issues/38933,Implemented caching of CSP whitelist per website area.,https://github.com/magento/magento2/pull/39672,Content,true
AC-13238,Magento 2.4.7 update (mini)cart no decimal qty allowed,https://github.com/magento/magento2/issues/39236,Now Magento correctly handles when we are updating qty with decimals from mini cart when the locale was NL(Dutch),https://github.com/magento/magento2/pull/39669,Cart & Checkout,true
AC-13300,"[Issue] Copyedit: change ""coping"" to ""copying""",https://github.com/magento/magento2/issues/39311,"PR fixes the Minor copyedit to correct spelling of ""copying""",https://github.com/magento/magento2/pull/39307,Import / export,true
AC-13336,[Issue] Fix offline invoice capture (404),https://github.com/magento/magento2/issues/39298,It fixes the 404 Page Error while capturing invoices for offline payment methods from Magento admin,https://github.com/magento/magento2/pull/39297,Payments,true
AC-13367,"When using file storage for the lock provider, we get an ever growing directory of files without any cleanup happening",https://github.com/magento/magento2/issues/39369,"This pull request introduce a new cron job that runs once per day and searches for lock files that haven't been modified in the last 24 hours and can thus be safely removed. This will keep the contents of the lock files directory under control.
This cron job will only execute something when the lock provider is configured to use files, not when one of the others is used (database - the default, zookeeper or cache)",https://github.com/magento/magento2/pull/39372,Framework,true
AC-13447,Success message after Quote renaming vanishes intermittently,"","","",B2B,false
AC-13664,[Issue] Cleanup: don't use void return value from method calls.,https://github.com/magento/magento2/issues/39524,This PR does minor cleanup. Sometimes we called methods that didn't return anything (void) and then used that result value. Which is really not needed.,https://github.com/magento/magento2/pull/39516,Framework,true
AC-13891,"Error: Script error for ""Magento_Catalog/js/validate-product"" for admin content pagebuilder with products load",https://github.com/magento/magento2/issues/39604,This PR fixes the  Script error for catalogAddToCart when editing the pagebuilder with the products condition,https://github.com/magento/magento2/pull/39677,Content,true
AC-13907,[Issue] Update subtotal.phtml,https://github.com/magento/magento2/issues/39619,The System updates the subtotal.phtml with the correct spacing,https://github.com/magento/magento2/pull/39612,Cart & Checkout,true
AC-14020,[Issue] Improve user experience with roles tree,https://github.com/magento/magento2/issues/39654,"This pull request adds buttons to collapse all, expand all, and expand branches with selected items. This functionality is similar to that provided in the category tree (Catalog -> Inventory -> Categories)",https://github.com/magento/magento2/pull/36511,Admin UI,true
AC-14132,Block selection in widgets that have the same identifier,https://github.com/magento/magento2/issues/39692,The System now correctly handles selecting block while creating widgets when we are having same identifier blocks,https://github.com/magento/magento2/pull/39722,Content,true
AC-14241,Not able to place the order with the guest,"","",https://github.com/magento/magento2/commit/27217d0e,Cart & Checkout,true
AC-14267,Disable captcha storefront config still load captcha js files,https://github.com/magento/magento2/issues/32987,"The System now does not load captcha js files when we disabled captcha for storefront",https://github.com/magento/magento2/pull/39154,Other Developer Tools,true
AC-14312,[Issue] [PHPDOC] Fix bad phpdoc for Magento\Framework\Message\ManagerInterface,https://github.com/magento/magento2/issues/39593,This PR fixes the bad phpdoc for \Magento\Framework\Message\ManagerInterface and remove all duplicate phpdoc in \Magento\Framework\Message\Manager (use inheritdoc syntax).,https://github.com/magento/magento2/pull/39153,Framework,true
AC-14361,B2B Login as Customer header still has Magento branding,"","Earlier the storefront header shows ""You are now connected as <customer name> on <store name>"" with Magento branding. Which is now fixed and the header shows with ADOBE branding.",https://github.com/magento/magento2/commit/fadcfa8b,"Admin UI, B2B",true
AC-14450,Removed beta minimum-stability from composer.json,"",Removed beta minimum-stability from composer.json,https://github.com/magento/magento2/commit/1cbbf187,Framework,true
AC-14484,"Cannot return null for non-nullable field \""AppliedCoupon.code\"" unexpected issue",https://github.com/magento/magento2/issues/39841,"",https://github.com/magento/magento2/commit/97b2ea42,Order,true
AC-14494,[2.4.8] No callbacks found for cron job catalog_product_alert,https://github.com/magento/magento2/issues/39800,"",https://github.com/magento/magento2/commit/1bc2d6d0,Product,true
AC-14507,Doucment should be updated for % implementation which is not correct in official document,"",Updated the devdoc for DHL Rest API support,"",Shipping,false
AC-14520,"Symfony\Component\Mime\Exception\LogicException: The ""Sender"" header must be an instance of ""Symfony\Component\Mime\Header\MailboxHeader"" (got ""Symfony\Component\Mime\Header\MailboxListHeader"")",https://github.com/magento/magento2/issues/39823,"","https://github.com/magento/magento2/commit/1e14bd72",Admin UI,true
AC-14556,Table prefix is not taken into account,https://github.com/magento/magento2/issues/39847,"",https://github.com/magento/magento2/commit/1bc2d6d0,Content,true
AC-14601,[DHL]-Handle Optional Dimensions in Regular Size Settings and Price Variance Between REST and XML API Integrations,"","",https://github.com/magento/magento2/commit/1e3bde4c,Shipping,true
AC-14637,Tax amount isn't updated when gift wrapping removed from the cart,"","","",Tax,false
AC-2238,Provide a feature to mass-delete tax rates using the grid,https://github.com/magento/magento2/issues/33399,Admin users can now simultaneously delete multiple tax rates from the Admin Tax Rates grid.  [GitHub-33399](https://github.com/magento/magento2/issues/33399),"https://github.com/magento/magento2/pull/33484, https://github.com/magento/magento2/commit/5cd64dd0",Admin UI,true
AC-2950,Product page gives error because of url rewrites,https://github.com/magento/magento2/issues/35371,Now the Product Page is loaded successfully when we have URL rewrites,https://github.com/magento/magento2/pull/39670,Catalog,true
AC-9428,"Cart price rule with condition SKU dosen't take into account the ""leading zeros"" in the SKU (sku: 01234 is the same as 1234)",https://github.com/magento/magento2/issues/37919,"The System now correctly handles Cart price rule with condition SKU take into account the ""leading zeros"" in the SKU",https://github.com/magento/magento2/pull/39525,Admin UI,true
ACP2E-2885,Products graphql returned disabled categories in the category aggregations,"",After the fix disabled categories aren't returned for the products GraphQl request.,https://github.com/magento/magento2/commit/b12ffe36,"Catalog, GraphQL, Search",true
ACP2E-3399,GraphQL Response for Order placement does not include the exception message,"","Reverted previous change that was returning errors in a different format. Now potential errors are returned in a consistent manner, not breaking GraphQL schema. This should be added as known BIC, approved by PM in ACP2E-3399",https://github.com/magento/magento2/commit/9608ca21,GraphQL,true
ACP2E-3449,Slow query is executed when product widget is included via pagebuilder,"",The Query for product widgets creation including product SKUs is optimized.,https://github.com/magento/magento2/commit/df92debe,Product,true
ACP2E-3493,Expired persistent quotes are not cleaned up by a cron job sales_clean_quotes,"","The expired persistent quotes are now cleared when the 'persistent_clear_expired' cron job runs. Previously, the expired persistent quotes were not cleared by any other cron job.",https://github.com/magento/magento2/commit/11be3dff,Cart & Checkout,true
ACP2E-3504,Product images not resized when added as configurable product,"","Previously, images added through Configurations in the admin panel did not adhere to the maximum upload size limit, which could lead to inconsistencies and management challenges. Now, a fix has been implemented to ensure that images are automatically resized during upload to comply with the maximum size limit, streamlining the process and maintaining system standards.",https://github.com/magento/magento2/commit/df92debe,Product,true
ACP2E-3506,GraphQL Response for Order placement is partially localised,"","Errors returned by placeOrder GraphQl mutation were not fully localized. Now, in a multilanguage context, errors are properly translated.",https://github.com/magento/magento2/commit/9608ca21,GraphQL,true
ACP2E-3515,[Cloud] Some Inline Javascript does not work after upgrade to magento 2.4.6-p7,"","Clicking on ""delete"" button in ""Add to Order by SKU"" in admin will now remove the SKU. Previously, clicking on""delete"" button in ""Add to Order by SKU"" did not remove the SKU.","",Order,false
ACP2E-3523,Issue with Default Attribute Option Value Behavior for Multiselect,"","Prior to the fix default values for multiple options attribute were not being saved properly. Now, after the fix, the values are properly stored in the database.",https://github.com/magento/magento2/commit/9608ca21,Admin UI,true
ACP2E-3526,[Cloud] Bug when adding products to category,"","The pagination and record count label now work correctly when adding products to a category via the popup grid. Previously, loading only a single page with items equal to the page size caused issues with the item selection dropdown.","",Catalog,false
ACP2E-3538,indexer_update_all_views cron error with MAGE_INDEXER_THREADS_COUNT,"",Fixed issue for MAGE_INDEXER_THREADS_COUNT > 2 with Customer Segment indexer,https://github.com/magento/magento2/commit/9608ca21,Catalog,true
