Issue key,Custom field (Release Note),Summary,Custom field (Git Pull Request),Custom field (External Issue URL),Components
AC-10042,"The system now correctly handles the parent and child concept transactions where the parent transaction ID is the same as the transaction ID, preventing an infinite loop when querying the /V1/transactions REST API endpoint. Previously, this scenario would result in a fatal error due to maximum execution time being exceeded.",/V1/transactions REST API returns error when parent_txn_id = txn_id,<https://github.com/magento/magento2/commit/1bafc571>,"",APIs
AC-10535,"The system now correctly retains special characters in the names of associated products when editing a configurable product, preventing them from being converted into HTML entities. Previously, special characters in associated product names were converted into HTML entities when the configurable product was edited.",Special characters in configurable associate product name are  being Converted to HTML Entities.,<https://github.com/magento/magento2/pull/38447>,https://github.com/magento/magento2/issues/38146,Product
AC-10539,"The system now correctly displays the price of out-of-stock simple products in the ""Recently Viewed Product"" widget, ensuring consistency across all widgets and product list pages. Previously, the price of out-of-stock simple products was not displayed in the ""Recently Viewed Product"" widget due to a condition in the price loading templates.",[Issue]  issue with the price display in the Recently Viewed widget,<https://github.com/magento/magento2/pull/38159>,https://github.com/magento/magento2/issues/38167,Content
AC-10596,"The system now corrects a typo and grammar error in the acl.xsd file, enhancing the clarity and accuracy of the documentation. Previously, the acl.xsd file contained a typo and incorrect grammar which could potentially cause confusion.",[Issue] Correct typo and grammar in acl.xsd file,<https://github.com/magento/magento2/pull/38046>,https://github.com/magento/magento2/issues/38061,Content
AC-10654,"The system now adheres to the constraints set within the management GUI when processing password change requests via the API, preventing potential abuse of the password reset function. Previously, the API could process password change requests outside of the rules defined in the management GUI, potentially allowing for a constant stream of reset emails if valid emails were known.",V1/customers/password endpoint question/issue,<https://github.com/magento/magento2/commit/0c53bbf7>,https://github.com/magento/magento2/issues/38238,Framework
AC-10658,"The system now correctly closes the start tag in the visual.phtml file, ensuring proper HTML syntax. Previously, the start tag was not closed properly, causing an HTML syntax error.",[Issue] Fix HTML syntax error in visual.phtml,<https://github.com/magento/magento2/pull/37457>,https://github.com/magento/magento2/issues/38247,Other Developer Tools
AC-10660,"The system now properly handles exceptions when adding a product to the cart from the compare product page, displaying a message manager message in the controller. Previously, an exception would result in a JSON encoded page being returned instead of being properly caught and handled.",Exception is not getting handled properly while adding a product to cart in the compare product page,"<https://github.com/magento/magento2/pull/38257>, <https://github.com/magento/magento2/commit/0c53bbf7>",https://github.com/magento/magento2/issues/38200,Cart & Checkout
AC-10698,"The system now correctly sends transaction prices and totals to Google Tag when GTag is enabled, ensuring accurate tracking of ecommerce data. Previously, the currency was incorrectly being sent as part of the ""all"" orders, rather than being associated with the individual order.",GTag not send transaction prices and totals.,"<https://github.com/magento/magento2/pull/37504>, <https://github.com/magento/magento2/pull/37349>",https://github.com/magento/magento2/issues/37348,Cart & Checkout
AC-10721,Upgrade the league/flysystem Composer dependencies upgrading to latest version,"",Upgrade the 2.x league/flysystem Composer dependencies to latest version 3.x,<https://github.com/magento/magento2/commit/91cb4d46>,Framework
AC-10750,"The system now correctly updates the inventory of configurable products when the database uses prefixes, preventing any error messages and ensuring the correct quantity is saved. Previously, an error would occur when trying to save the inventory quantity for simple products within a configurable product if the database was using prefixes.",Inventory update of Configurable Product fails when database uses prefixes,"",https://github.com/magento/magento2/issues/38045,Inventory / MSI
AC-10757,"The system now correctly uses the term ""carrier"" instead of the misspelled ""currier"" in the JavaScript handler functions used in the order tracking template, ensuring proper function naming and code clarity. Previously, the misspelled term ""currier"" was used, leading to potential confusion and inconsistency in the codebase.","[Issue] Fixed typo in tracking.phtml - renamed JS-functions ""currier"" to ""carrier""",<https://github.com/magento/magento2/pull/33414>,https://github.com/magento/magento2/issues/34523,Shipping
AC-10782,"The system now validates the input in the First Name and Last Name fields in the customer address form, preventing the use of random code. Previously, the system allowed the use of random code in these fields without throwing an error.",Customer address form allows random code in the name fields,<https://github.com/magento/magento2/pull/38345>,https://github.com/magento/magento2/issues/38331,Account
AC-10828,"The system now displays the number of backordered items in the quantity column on the backend order overview screen. This ensures that users can accurately track the status of all items in an order. Previously, the quantity column only showed the number of items that were ordered, invoiced, and shipped, but did not display the number of backordered items.",Backend order overview screen: Backordered quantity not visible on order item level,<https://github.com/magento/magento2/pull/38320>,https://github.com/magento/magento2/issues/38252,Order
AC-10838,"The system now successfully completes the re-index command without encountering any errors, regardless of the libxml version compiled with PHP. Previously, running the re-index command resulted in a ""Catalog Search index process error during indexation process"" error when PHP was compiled with certain versions of libxml.",Catalog search index process error indexation process,"<https://github.com/magento/magento2/pull/38553>, <https://github.com/magento/magento2/commit/0574ac23>",https://github.com/magento/magento2/issues/38254,Framework
AC-10845,"The system now correctly displays banner images uploaded in newly created folders in the Pagebuilder gallery, eliminating previous console errors. Prior to this fix, banner images were not visible in the gallery if they were uploaded in a new folder, causing a console error.",Pagebuilder banner image not visible in gallery,<https://github.com/magento/magento2/commit/c8f87c25>,"",Content
AC-10910,"The system now automatically cleans up the cron_schedule database table, removing entries for jobs that no longer exist in the system. This ensures optimal performance by maintaining a minimal number of rows in the table. Previously, entries for jobs from inactive or removed modules were not cleaned up, leading to unnecessary data accumulation in the cron_schedule table.",Cleanup of cron_schedule database table doesn't cleanup non-existing jobs,<https://github.com/magento/magento2/pull/38693>,https://github.com/magento/magento2/issues/38217,Catalog
AC-10941,"The system now supports the use of created_at, status, and grand_total filters in customer Orders queries, and has resolved an issue where multiple filters were not being applied correctly. Previously, the system did not support these filters and would fail to apply all filters when more than one was used in a query.","Added created_at, status and grand_total filters to customer Orders query and fixed multiple filters failure",<https://github.com/magento/magento2/pull/36949>,https://github.com/magento/magento2/issues/38392,Framework
AC-10947,"The system now correctly creates a cache key in the ProductRepository's function GetById, regardless of whether the store ID is passed as a string or an integer. This ensures that the product is retrieved from memory on subsequent calls, improving performance. Previously, the system would retrieve the product from the database each time the function was called, even with the same parameters, due to incorrect cache key creation.",ProductRepository function GetById does not create the correct cache key,<https://github.com/magento/magento2/pull/38433>,https://github.com/magento/magento2/issues/38384,Product
