"filename","title","description","type"
"./metadata.md","","Adobe Commerce Operational Guides","Documentation"
"./help/installation/TOC.md","","",""
"help/installation/overview.md","On-premises installation overview","Learn about the installation process for on-premises deployments of Adobe Commerce.",""
"help/installation/system-requirements.md","System requirements","Use this reference to identify required software dependencies that have been tested with Adobe Commerce releases.",""
"help/installation/prerequisites/overview.md","On-premises installation prerequisites","Learn more about the software dependencies required for on-premises installations of Adobe Commerce.",""
"help/installation/prerequisites/file-system/overview.md","File ownership and permissions","Learn about the importance of file system permissions when working with on-premises installations of Adobe Commerce.",""
"help/installation/prerequisites/file-system/configure-permissions.md","Configure file ownership and permissions","Follow these steps to configure file system permissions for on-premises installations of Adobe Commerce.",""
"help/installation/prerequisites/web-server/nginx.md","Nginx","Follow these steps to install and configure the Nginx web server for on-premises installations of Adobe Commerce.",""
"help/installation/prerequisites/web-server/apache.md","Apache","Follow these steps to install and configure the Apache web server for on-premises installations of Adobe Commerce.",""
"help/installation/prerequisites/database/mysql.md","MySQL guidelines","Follow these steps to install and configure MySQL and MariaDB for on-premises installations of Adobe Commerce.",""
"help/installation/prerequisites/database/mysql-remote.md","Set up a remote MySQL database connection","Follow these steps to configure a remote database connection for on-premises installations of Adobe Commerce.",""
"help/installation/prerequisites/search-engine/overview.md","Search engine prerequisites","Follow these steps to install and configure supported search engine software for on-premises installations of Adobe Commerce.",""
"help/installation/prerequisites/search-engine/aws-opensearch.md","AWS OpenSearch","Follow these steps to configure the AWS OpenSearch web service for on-premises installations of Adobe Commerce.",""
"help/installation/prerequisites/search-engine/configure-nginx.md","Configure Nginx for your search engine","Follow these steps to configure a search engine with the Nginx web server for on-premises installations of Adobe Commerce.",""
"help/installation/prerequisites/search-engine/configure-apache.md","Configure Apache for your search engine","Follow these steps to configure a search engine with the Apache web server for on-premises installations of Adobe Commerce.",""
"help/installation/prerequisites/php-settings.md","PHP settings","Follow these steps to install required PHP extensions and configure required PHP settings for on-premises installations of Adobe Commerce.",""
"help/installation/prerequisites/rabbitmq.md","Message broker","Follow these steps to install and configure required message broker software (such as [!DNL RabbitMQ]) for on-premises installations of Adobe Commerce.",""
"help/installation/prerequisites/security.md","On-premises installation security","Learn about ways to improve the security posture of your Adobe Commerce on-premises installation.",""
"help/installation/prerequisites/authentication-keys.md","Get your authentication keys","Follow these steps to retrieve credentials to access Adobe Commerce Composer packages on repo.magento.com.",""
"help/installation/prerequisites/commerce.md","Get the Adobe Commerce software","Learn how to download the Adobe Commerce software.",""
"help/installation/prerequisites/optional-software.md","Optional software","Learn more about optional software that you can install to support on-premises installations of Adobe Commerce.",""
"help/installation/composer.md","Quick start on-premises installation","Follow these steps to install Adobe Commerce on infrastructure that you own.",""
"help/installation/advanced.md","Advanced on-premises installation","Learn about advanced installation scenarios for Adobe Commerce on infrastructure that you own.",""
"help/installation/next-steps/verify.md","Verify the installation","Follow these steps to confirm that your on-premises Adobe Commerce installation was successful.",""
