Issue key,Summary,Custom field (External Issue URL),Custom field (Git Pull Request),Custom field (Release Note),Components,Labels,is_magento
AC-11846,Add support for OpenSearch 3,"","","",Framework,"ac-platform-health-mts, Health&Insights, , ",false
AC-13209,Upgraded web-token/jwt-framework library to the latest major version,"","https://github.com/magento/magento2/commit/2bac8114, https://github.com/magento/magento2/commit/09b36ebb, https://github.com/magento/magento2/commit/33b81f28","As part of continuous security review process, we evaluated the latest major release of the JWT framework to ensure future compatibility and maintain strong security standards. There is no impact on existing functionality in this release.",Framework,"Health&Insights, QA-Passed, , ",true
AC-13244,Investigate the LTS symfony dependencies in magento2-functional-testing-framework,"","","As part of ongoing platform health work under the 2.4.9 platform component upgrades, the Magento Functional Testing Framework (MFTF) has been updated to use the latest Symfony LTS dependencies (including symfony/config) required by web-token/jwt-framework. This resolves prior dependency conflicts and ensures a stable, supported stack for functional testing.",Framework,"Health&Insights, Laminas, , ",false
AC-13257,Migrate USPS integration from outdated Web Tools APIs to new RESTful USPS APIs,"","","",Shipping,"Health&Insights, , , ",false
AC-13258,Migrate DHL integration from outdated DHL Express XML to new MyDHL API RESTful APIs,"","","",Shipping,"Health&Insights, , , ",false
AC-13792,[Part 2] - Update all js library and npm dependency with latest available version,"",https://github.com/magento/magento2/commit/19844aa0,composer version support was up to the composer version 2.2.x only. Now the support extended to 2.4.x version as well.,Framework,"Health&Insights, , , ",true
AC-13916,"Add ""Actions"" menu for the Catalog Price Rules grid in Admin UI","","","",Admin UI,", , , ",false
AC-14075,Replace carlos-mg89/oauth with PHP Native Functions,"",https://github.com/magento/magento2/commit/7b8064f7,"Replaced the third-party carlos-mg89/oauth library with native PHP OAuth functions to improve security, reduce external dependencies, and enhance platform stability.",Framework,"Health&Insights, , , ",true
AC-14078,Improve async/bulk request performance,"",https://github.com/magento/magento2/commit/9a7352b7,"Fix the performance degradation in bulk asynchronous web endpoints introduced after the APSB25-08 security patch, resulting in increased execution times.",Security,", , , ",true
AC-14103,"Add compatibility for Valkey 8.x for 2.4.8, 2.4.7, 2.4.6 and 2.4.5, 2.4.9-alpha1","","","",Framework,"ac-platform-health-mts, Health&Insights, , ",false
AC-14104,Update Nginx version from 1.26 to 1.28,"","","",Framework,"ac-platform-health-mts, Health&Insights, no-ACcode-needed, ",false
AC-14307,Upgrade jquery/uppy and uppy libraries the latest version,"",https://github.com/magento/magento2/commit/eb491c05,"Upgraded the Uppy file upload library to version 4.13.4 to enhance file upload capabilities, improve user experience, and address security vulnerabilities in file handling across the Adobe Commerce admin interface and frontend components.",Framework,"Health&Insights, QA-APPROVED, , ",true
