filename,title,description,type
./metadata.md,,Adobe Commerce Operational Guides,Documentation
./help/tools/TOC.md,,,
help/tools/overview.md,Tools,Optimize your Adobe Commerce store with these tools.,
help/tools/site-wide-analysis-tool/intro.md,'[!DNL Site-Wide Analysis Tool]',"Learn about the [!DNL Site-Wide Analysis] Tool, its uses, the installation process, and how to get access",
help/tools/site-wide-analysis-tool/access.md,How to access [!DNL Site-Wide Analysis Tool],Learn how to access the [!DNL Site-Wide Analysis Tool],
help/tools/site-wide-analysis-tool/status.md,Status attributes,Learn about the different status information in the [!DNL Site-Wide Analysis Tool].,
help/tools/site-wide-analysis-tool/features-tabs.md,Features tabs,Learn about the different features tabs in the [!DNL Site-Wide Analysis Tool],
help/tools/site-wide-analysis-tool/dashboard.md,'[!DNL Dashboard]',"Learn about the [!DNL Dashboard] tab in the [!DNL Site-Wide Analysis Tool], elements, when to use, benefits, and best practices.",
help/tools/site-wide-analysis-tool/information.md,'[!DNL Information]',"Learn about the [!UICONTROL Information] tab in the [!DNL Site-Wide Analysis Tool], when to use it, its benefits, and best practices.",
help/tools/site-wide-analysis-tool/recommendations.md,'[!DNL Recommendations]',"Learn about the [!UICONTROL Recommendations] tab in the [!DNL Site-Wide Analysis Tool], when to use it, its benefits, and best practices.",
help/tools/site-wide-analysis-tool/exceptions.md,'[!DNL Exceptions]',"Learn about the [!UICONTROL Exceptions] tab in the [!DNL Site-Wide Analysis Tool], when to use it, its benefits, and best practices.",
help/tools/site-wide-analysis-tool/extensions.md,'[!DNL Extensions]',"Learn about the [!DNL Extensions] tab in the [!DNL Site-Wide Analysis Tool], when to use it, its benefits, and best practices.",
help/tools/site-wide-analysis-tool/alerts.md,'[!DNL Alerts]',"Learn about the [!UICONTROL Alerts] tab in the [!DNL Site-Wide Analysis Tool], when to use it, and its benefits.",
help/tools/site-wide-analysis-tool/patches.md,'[!DNL Patches]',"Learn about the [!UICONTROL Patches] tab in the [!DNL Site-Wide Analysis Tool], when to use it, and its benefits.",
./help/tools/managed-alerts-for-adobe-commerce/managed-alerts-on-magento-commerce-redis-memory-critical-alert.md,'Managed alerts on Adobe Commerce: [!DNL Redis] memory critical alert',This article provides troubleshooting steps for when you receive a [!DNL Redis] memory critical alert for Adobe Commerce in [!DNL New Relic]. Immediate action is required to resolve the issue.,
