Issue key,Summary,Custom field (Release Note),Custom field (External Issue URL),Custom field (Git Pull Request),Components,is_magento
AC-12026,Add support for RabbitMQ 4,"","","",Framework,false
AC-12027,Add support for Valkey 8.x,"","","",Framework,false
AC-13079,All the Adobe Commerce project laminas/dependencies are compatible with PHP 8.4,"","","",Framework,false
AC-13371,Add support for the latest OpenSearch 2.19,"","","",Framework,false
AC-13571,Replacement of Laminas abandoned repos,"","","",Framework,false
AC-13629,2.4.8 Core Quality Improvements,"","","",Other,false
AC-13795,Make ES8 to be default for 2.4.8 instead of ES7,"","","",Other,false
LYNX-319,401 and 403 HTTP response codes for GraphQL API,Improved GraphQL API security by ensuring that requests with expired customer tokens now return a 401 Unauthorized response instead of returning guest data. This change aligns with expected behavior for headless applications.,"","",Other,true
LYNX-448,Update the API to support merging guest orders with the account associated with the same email,Updated the API to support merging guest orders with customer accounts when the email addresses match. Orders placed by guests are now automatically associated with the corresponding customer account upon registration or if an existing account with the same email is found.,"","",Other,true
LYNX-449,"Include ""cart summary"" related fields in guestOrder/guestOrderByToken GQL","Enhanced the guestOrder and guestOrderByToken GraphQL responses to include missing cart summary-related fields for order confirmation. Introduced the OrderItemPrices type and added original_price and original_price_including_tax fields to both OrderItemPrices and CartItemPrices. The prices field now includes detailed pricing information, allowing the order confirmation page to display a more complete cart summary, including total quantity, item details, and pre-discount prices.","","",Other,true
LYNX-450,"Include field ""is_virtual"" in ""CustomerOrder"" GQL type","Added the is_virtual field to the CustomerOrder GraphQL type, similar to the Cart type. This allows the customer to conditionally hide shipping information for orders containing only virtual products.","","",Other,true
LYNX-451,Deliver Order Grand_Total Without Tax in CartPrices,"Added a new grand_total_excluding_tax field to the CartPrices GraphQL response. This field returns the total of the cart, including discounts, shipping, and other fees, excluding tax. The grand_total_excluding_tax is also available in the estimatedTotals mutation, providing an estimated order total without tax. This enhancement allows for more accurate cart summaries when the “Additionally Show Order Total Without Tax” option is enabled in the Store Config’s Shopping Cart Display Settings.","","",Other,true
LYNX-458,Include custom address attributes in guestOrder and guestOrderByToken queries,"Updated the guestOrder and guestOrderByToken GraphQL queries to include custom address attributes. This ensures that addresses can be successfully created for guest users after sign-up on the order confirmation page, even when merchants have configured required custom address attributes.","","",Other,false
LYNX-460,Bundle products does not show original price and the final price has no currency,"Fixed an issue where bundle products in the cart query did not display the original price, and the final price lacked currency information. The query response now includes the original price and adds the currency to bundle_options.values.price for accurate pricing details.","","",Other,false
LYNX-468,add custom attributes in OrderAddress used in CustomerOrder GQL,"","","",Other,false
LYNX-470,Implement order history filter based on created_at,Implemented an order history filter based on the created_at field and exposed date_of_first_order with the CustomerOrders type,"","",Other,true
LYNX-476,Deliver available inventory amount in error message,"","","",Other,false
LYNX-515,Implement possibility to create return as a guest user,"Added support for guest RMA requests in existing database tables by introducing the confirmation_key column and UNCONFIRMED status to track RMA confirmations. Guests must pass a token with the returnGuestRequest GraphQL API to create an RMA with an unconfirmed status, and use the confirmReturn GraphQL API with the confirmation key to confirm the return.","","",Other,false
LYNX-519,Error codes for order cancellation,Mapped error codes with corresponding error messages for order cancellation.,"","",Other,true
LYNX-521,GraphQL | cancelOrder mutation,"","","",Other,false
LYNX-522,Add theme field to recaptchaV3Config query,Exposed theme field to the ReCaptchaConfigurationV3 type.,"","",Other,true
LYNX-523,GraphQL: Provide available order actions,Exposed CustomerOrder.available_actions to display the available actions for an order.,"","",Other,true
LYNX-524,GraphQL | Order Edit | Add Customer Information to Customer Order type,Exposed OrderCustomerInfo to the CustomerOrder type.,"","",Other,true
LYNX-540,Add quantity to ProductInterface,Exposed quantity with ProductInterface and synchronized it with the product stock option-related configuration.,"","",Other,true
LYNX-541,Introduce InsufficientStockError type,Introduced the InsufficientStockError type to manage errors when adding products to the cart due to insufficient stock.,"","",Other,true
LYNX-542,Change updateCartItems mutation response,"Updated the updateCartItems mutation to return a success response with errors, instead of throwing exceptions.","","",Other,true
LYNX-547,Insufficient and unavailable quantity notifications,Updated the notifications for insufficient and unavailable quantities,"","",Other,true
LYNX-551,Add order status date tracking and API coverage,Exposed order_status_change_date with the Order GraphQL API to display order status change date,"","",Other,true
LYNX-563,Add error code for decimal quantity in UpdateCartItems mutation response,"","","",Other,false
LYNX-566,Add pagination to customer addresses GraphQL,"Introduced customer.addressesV2 in the customer query, adding pagination for customer addresses.","","",Other,true
LYNX-568,Request order token for guest order cancellation,"Made the cancelOrder mutation accessible only to registered customers and introduced a new requestGuestOrderCancel mutation, which requires an order token (similar to the guestOrderByToken input).","","",Other,true
LYNX-572,Documentation for added UNCONFIRMED status to the RMA (Returns),"Documentation updates added for Guest RMA, including details about Guest RMA GraphQL APIs and the newly added UNCONFIRMED status.
GraphQL APIs: requestGuestReturn, confirmReturn.","","",Other,false
LYNX-587,Expose Tax Display Settings via GraphQL,"Exposed Tax Display Settings via GraphQL for orders, invoices, credit memos, and related entities.","","",Other,true
LYNX-598,Modify guest order token generation to use lastname instead of postcode,"Some countries consider the postcode optional. As a result, some guest users faced issues while fetching tokens during order placement or retrieving already placed orders using a token. Guest GraphQL APIs for fetching orders, requesting order cancellations, and requesting returns were modified by updating the token logic and using the last name instead of the postcode.","","",Other,true
LYNX-617,extend cart and customerCart GQL queries to know if the shipping addresses and billing address are the same or not,"Extended the ShippingCartAddress GraphQL API to introduce the same_as_billing field, which indicates whether the shipping and billing addresses are the same.","","",Other,true
LYNX-618,return identifier of the address book's address set on shipping/billing cart addresses for customerCart query,Extended CartAddressInterface to introduce an identifier for the address book in shipping or billing cart address.,"","",Other,true
LYNX-621,Update logic to store guest RMA into existing tables and handle impacted areas,"","","",Other,false
LYNX-622,Remove Order Edit related funcionality implemented in the scope of LYNX-482 and LYNX-483,"","","",Other,false
LYNX-632,Inconsistency between attribute values in GraphQL queries and mutations,Updated the Return Request mutation for the RMA items input to resolve inconsistencies between the return attribute related query and mutation,"","",Other,false
LYNX-633,Expose Tax Display Settings via GraphQL in a correct way,Refined the exposure of Tax Display Settings via GraphQL.,"","",Other,true
LYNX-642,REORDER action in order.availableActions,REORDER action in order.availableActions updated as per store configuration,"","",Other,true
LYNX-644,Update date format returned by OrderStatusChangeDate resolver,"Updated the OrderStatusChangeDate resolver to return the order status change date in the default format without additional reformatting, ensuring consistency across responses.","","",Other,true
LYNX-685,Investigate  issues with B2B WebAPI Tests for Storefront-Compatibility Package,"","","",GraphQL,false
LYNX-691,Gift Card - Extend customer.orders query,"Extended the customer.orders query to include the applied_gift_cards field, allowing retrieval of applied gift card data similar to applied_coupons. Now, customers can see gift card codes used in their orders via GraphQL.","","",Other,false
LYNX-692,Gift Options - Fix issue with customer.orders query,Updated the customer.orders query to correctly process the gift_message field.,"","",Other,true
LYNX-693,Gift Options - Extend cart query,Gift message and Gift wrapping exposed to GiftCardCartItem; updated logic to discard Gift wrapping for virtual products.,"","",Other,true
LYNX-694,Gift Options - Extend products query,Enhanced the products query in GraphQL by adding gift_wrapping_available and gift_wrapping_price fields. The gift_wrapping_price is now returned as a price object for better consistency.,"","",Other,false
LYNX-695,Gift Options - Extend storeConfig query,Extended the storeConfig query to include printed_card_priceV2 to return a price object instead of a string.,"","",Other,false
LYNX-697,Deliver subtotals fields in placeOrder mutation,"Exposed OrderTotal.subtotal_excl_tax and OrderTotal.subtotal_incl_tax, while marking OrderTotal.subtotal as deprecated.","","",Other,true
LYNX-698,Error when item in return is out of stock,"Fixed the issue where the customer.returns query returned an internal server error when an item in the return was out of stock. Now, product data is correctly returned, even if the item is out of stock, ensuring consistent response handling.","","",Other,true
LYNX-701,Include store credit / reward points data to order payload,"Extended the CustomerOrder GraphQL interface to include store credit and reward points applied to the order totals. Now, the order payload returns the label and value for both store credit and reward points, ensuring complete cost summary details.","","",Other,false
LYNX-713,Gift options pricing and taxes calculation,Extended the GiftOptionsPrices and OrderTotal interfaces in GraphQL to include both price_excluding_tax and price_including_tax for gift wrapping (per item and order) and printed cards. This enhancement ensures accurate tax display based on store configuration settings for both cart and order queries.,"","",Other,false
LYNX-729,Provide top level customer group related information via GraphQL API,Added the customerGroup query to expose customer group-related information via the GraphQL API for guests and customers,"","",Other,true
LYNX-730,Provide catalog rules related information via GraphQL API,"Added store configurations for catalog rule and the allCatalogRules query to list all available catalog rules, and exposed Product.rules to return the the applied catalog rules to current product","","",Other,true
LYNX-731,Provide cart rules related information via GraphQL API,"Added GraphQL support for retrieving cart rule information. Introduced new store configurations to control exposure of all and applied cart rules, along with the allCartRules query and Cart.rules field for fetching active cart rules.","","",Other,true
LYNX-732,Provide customer group related information via GraphQL API,"Added store configurations for customer group, the allCustomerGroups query to list all customer groups, and exposed Customer.group to return the current customer’s group.","","",Other,true
LYNX-750,Correct GraphQL type name CustomerGroup -> customerGroup,Updated GraphQL type for customerGroup query,"","",Other,true
LYNX-753,Deliver Terms & Conditions configuration in StoreConfig,"Added support for retrieving terms and conditions configuration settings via the StoreConfig GraphQL query.
New Configurations Available:
- Stores > Settings > Configuration > Checkout > Checkout Options > Enable Terms and Conditions
These settings enable frontend applications to dynamically enable and configure terms and conditions by store view in checkout page.","","",Other,true
LYNX-773,Provide customer segments related information via GraphQL API,Exposed customer segments related information via GraphQL APIs,"","",Other,false
LYNX-781,Return only free payment method when the order total is 0,Updated the checkout process for GraphQl to display only the “Free” payment method when the order total is zero. This enhancement reduces shopper confusion and ensures a smoother purchasing experience.,"","",Other,true
