"filename","title","description","type"
"./metadata.md","","Adobe Commerce Operational Guides","Documentation"
"./help/configuration/TOC.md","","",""
"help/configuration/overview.md","Configuration guide overview","Learn about all the configurable features and services for your Adobe Commerce application.",""
"help/configuration/bootstrap/initialization.md","Application initialization and bootstrap","Read about initialization and bootstrap logic for the Commerce application.",""
"help/configuration/bootstrap/application-modes.md","Application modes","The Commerce application can operate in different modes depending on your needs. View a detailed list of the application modes available.",""
"help/configuration/bootstrap/set-parameters.md","Set the value of bootstrap parameters","Learn how to set bootstrap parameters for the Commerce application.",""
"help/configuration/bootstrap/mage-profiler.md","Enable profiling","Learn more about enabling the MAGE Profiler to use with your analytical tools.",""
"help/configuration/bootstrap/mage-directory.md","Customize base directory paths","Use the MAGE_DIRS variable to set an array of absolute paths.",""
"help/configuration/deployment/overview.md","Deployment overview","Read about deployment strategies for the Commerce application.",""
"help/configuration/deployment/single-machine.md","Single machine deployment","Learn how to deploy updates to Commerce on a production server using the command line.",""
"help/configuration/deployment/technical-details.md","Technical details","Read about the technical details of pipeline deployment, types of configurations, and recommended workflows.",""
"help/configuration/deployment/prerequisites.md","Prerequisites for deployment","See a list of prerequisites for deploying Commerce into a development, build, or production system.",""
"help/configuration/deployment/development-system.md","Development system setup","Learn how to set up a development system for the Commerce application.",""
"help/configuration/deployment/build-system.md","Build System Setup","Learn how to deploy Commerce into a build system.",""
"help/configuration/deployment/production-system.md","Production system setup","Learn how to set up a production system for the Commerce application.",""
"help/configuration/deployment/file-system-permissions.md","File systems access permissions","See how to set up the owner or owners of the Commerce application file system for a development and production system.",""
"help/configuration/deployment/example-shared-configuration.md","Example using a shared configuration","See an example of how to change settings in a development system with a shared configuration file.",""
"help/configuration/deployment/example-using-cli.md","Example using CLI commands","See an example of how to set shared, system-specific, and sensitive values in your development system using the command line.",""
"help/configuration/deployment/example-environment-variables.md","Example using environment variables","See an example of how to set shared, system-specific, and sensitive values in your development system using environment variables.",""
"help/configuration/cache/caching-overview.md","Configure caching","Learn about caching and how to configure cache mechanisms for the Adobe Commerce application.",""
"help/configuration/cache/cache-types.md","Cache types","Associate cache frontends with cache types.",""
"help/configuration/cache/cache-options.md","Cache options","Configure access to low-level cache storage.",""
"help/configuration/cache/level-two-cache.md","L2 cache configuration","Learn to configure the L2 cache.",""
"help/configuration/cache/config-redis.md","Configure Redis","Get an overview of Redis features and start your Redis configuration.",""
"help/configuration/cache/redis-pg-cache.md","Use Redis for default cache","Learn to configure Redis as the default cache for Adobe Commerce.",""
"help/configuration/cache/redis-session.md","Use Redis for session storage","Learn how to configure Redis for session storage.",""
"help/configuration/cache/config-varnish.md","Configure and use Varnish","Understand how Varnish stores files and improves HTTP traffic.",""
"help/configuration/cache/config-varnish-install.md","Install Varnish","See advice about installing Varnish.",""
"help/configuration/cache/config-varnish-server.md","Configure web server","Learn how to configure your web server to work with Varnish.",""
"help/configuration/cache/configure-varnish-commerce.md","Configure Varnish for Commerce","Learn to update and manage your Varnish configuration file for the Commerce application.",""
"help/configuration/cache/config-varnish-advanced.md","Advanced Varnish configuration","Configure advanced Varnish features, including health check, grace, and saint modes.",""
"help/configuration/cache/use-varnish-cache.md","Cache clearing with Varnish","Learn how cache clearing works with Varnish and how to use it as a web-caching accelerator for the Adobe Commerce application.",""
"help/configuration/cache/use-multiple-varnish-cache.md","Cache clearing with multiple Varnish instances","Learn how cache clearing works with multiple Varnish instances.",""
