Issue key,Custom field (Release Note),Summary,Custom field (External Issue URL),Custom field (Git Pull Request),Components,is_magento
AC-11846,"Adobe Commerce 2.4.9 is fully compatible with OpenSearch 3.x. This update enables merchants to benefit from improved performance, security, and long-term support while maintaining backward compatibility with OpenSearch 2.x.",Add support for OpenSearch 3,"","",Framework,false
AC-13209,"As part of continuous security review process, we evaluated the latest major release of the JWT framework to ensure future compatibility and maintain strong security standards. There is no impact on existing functionality in this release.",Investigate the latest major version of web-token/jwt-framework,"","https://github.com/magento/magento2/commit/2bac8114, https://github.com/magento/magento2/commit/09b36ebb, https://github.com/magento/magento2/commit/33b81f28",Framework,true
AC-13244,"As part of ongoing platform health work under the 2.4.9 platform component upgrades, the Magento Functional Testing Framework (MFTF) has been updated to use the latest Symfony LTS dependencies (including symfony/config) required by web-token/jwt-framework. This resolves prior dependency conflicts and ensures a stable, supported stack for functional testing.",Investigate the LTS symfony dependencies in magento2-functional-testing-framework,"","",Framework,false
AC-13257,"To comply with USPS’s announced of retirement of the legacy Web Tools APIs, Adobe Commerce USPS integration is migrated to the new RESTful USPS APIs. 
Key Enhancements:
 - Dual API Support: Admin users can now choose between the legacy Web Tools API and the new RESTful USPS API via configuration settings.
 - Authentication Upgrade: Implemented OAuth 2.0 for secure API access.
 - Improved Data Format: Transitioned from XML to JSON for cleaner, more efficient communication.
 - New Admin Fields:
Gateway REST URL (based on mode: Development or Live)
Client ID & Secret
Account Type, Account Number
CRID, MID, Mailer Identification Code
AES/ITN for international shipments
REST-specific allowed shipping methods
This migration ensures Adobe Commerce remains compliant with USPS standards, improves system reliability, and future-proofs shipping integrations for merchants.",Migrate USPS integration from outdated Web Tools APIs to new RESTful USPS APIs,"","",Shipping,false
AC-13258,"In Adobe Commerce 2.4.9, the built‑in DHL shipping integration now supports MyDHL RESTful APIs, while preserving compatibility with the legacy DHL Express XML API. Merchants can choose which DHL API to use in Admin, benefiting from modern REST capabilities without breaking existing XML‑based setups.",Migrate DHL integration from outdated DHL Express XML to new MyDHL API RESTful APIs,"","",Shipping,false
AC-13916,"Starting with Adobe Commerce 2.4.9, the Catalog Price Rules grid in the Admin now includes an “Actions” menu, allowing merchants to Activate, Deactivate, or Delete multiple catalog price rules at once. This brings catalog price rule management in line with the existing bulk actions available for Cart Price Rules, significantly reducing the time required to manage large rule sets.","Add ""Actions"" menu for the Catalog Price Rules grid in Admin UI","","",Admin UI,false
AC-14075,"Replaced the third-party carlos-mg89/oauth library with native PHP OAuth functions to improve security, reduce external dependencies, and enhance platform stability.",Replace  carlos-mg89/oauth with PHP Native Functions,"",https://github.com/magento/magento2/commit/7b8064f7,Framework,true
AC-14078,"Fix the performance degradation in bulk asynchronous web endpoints introduced after the APSB25-08 security patch, resulting in increased execution times.",Improve async/bulk request performance,"",https://github.com/magento/magento2/commit/9a7352b7,Security,true
AC-14103,"Adobe Commerce 2.4.9 provides support for Valkey 8.x as an alternative cache backend to Redis. This work is driven by Redis 7.2 end‑of‑support (EOS) and licensing changes, and gives merchants a fully supported Redis‑compatible cache option, while retaining compatibility with Redis 7.x.","Add compatibility for Valkey 8.x for 2.4.8, 2.4.7, 2.4.6 and 2.4.5, 2.4.9-alpha1","","",Framework,false
AC-14304,"Upgraded the Chart.js JavaScript charting library to the latest version 4.4.8 to improve chart rendering performance, enhance visual capabilities, and address security vulnerabilities in the admin dashboard and reporting modules.",Investigate the latest version chart.js,"",https://github.com/magento/magento2/commit/768b4442,Framework,true
AC-14307,"Upgraded the Uppy file upload library to version 4.13.4 to enhance file upload capabilities, improve user experience, and address security vulnerabilities in file handling across the Adobe Commerce admin interface and frontend components.",Investigate the latest version jquery/uppy and uppy,"",https://github.com/magento/magento2/commit/eb491c05,Framework,true
AC-14403,"Upgraded the jQuery Validate library to version 1.21.0 to enhance form validation capabilities, improve user experience, and ensure modern browser compatibility across all Adobe Commerce forms in both admin and frontend interfaces.",Investigate the latest version jquery-validate,"",https://github.com/magento/magento2/commit/98b2848a,Framework,true
AC-14417,"Upgraded the jQuery UI library to version 1.14.1 to enhance user interface widgets, improve accessibility, and ensure modern browser compatibility across all Adobe Commerce admin and frontend interface components.",Investigate the latest version jquery-ui,"",https://github.com/magento/magento2/commit/77c589a6,Framework,true
AC-14418,"Upgraded the Less.js CSS preprocessor to version 4.2.2 to enhance CSS compilation performance, improve syntax support, and modernize the theme build process across all Adobe Commerce frontend and admin themes.",Investigate the latest version less.js,"",https://github.com/magento/magento2/commit/98b2848a,Framework,true
AC-14419,"Upgraded the Moment Timezone library to version 0.5.43 to enhance timezone handling capabilities, update timezone data with latest IANA Time Zone Database changes, and improve date/time processing accuracy across all Adobe Commerce international and multi-timezone operations.",Investigate the latest version moment-timezone-with-data.js,"",https://github.com/magento/magento2/commit/98b2848a,Framework,true
AC-14420,"Upgraded the Underscore.js utility library to version 1.13.7 to enhance JavaScript functional programming capabilities, improve data manipulation performance, and ensure modern browser compatibility across all Adobe Commerce frontend and admin interface components.",Investigate the latest version underscore.js,"",https://github.com/magento/magento2/commit/98b2848a,Framework,true
AC-14481,Adobe Commerce 2.4.9 remains aligned with Composer’s 2.x supported versions while preserving backward compatibility and avoiding build or deployment regressions. At the date of release Adobe Commerce 2.4.9 was tested with Composer versions 2.9.,Add compatibility with the latest Composer version for 2.4.9,"","",Framework,false
AC-14548,"In Adobe Commerce 2.4.9, the allure-framework/allure-phpunit dependency has been upgraded to major version 3, which adds support for PHP 8.4, PHP 8.5 and modernizes our Allure-based test reporting stack. The native dependency previously required by older Allure PHPUnit versions has been removed where applicable, simplifying setup and maintenance.",Update allure-framework/allure-phpunit version to 3 and remove native dependency in 2.4.9-alpha1,"",https://github.com/magento/magento2/commit/87b8b34e,Framework,true
