Issue key,Summary,Custom field (External Issue URL),Custom field (Release Note),Custom field (Git Pull Request),Components
AC-10705,"[Issue] add permission check for ""reload data"" data button",https://github.com/magento/magento2/issues/38283,"The system now includes a permission check for the ""Reload Data"" button, ensuring that it is only displayed and accessible to users with the appropriate permissions. Previously, the ""Reload Data"" button was visible and clickable for all users, leading to a ""not permitted"" page when clicked by users without the necessary permissions.",<https://github.com/magento/magento2/pull/38279>,Admin UI
AC-10738,Varnish configuration does not exclude all marketing parameters,https://github.com/magento/magento2/issues/38298,"The system now correctly excludes all common marketing parameters in the Varnish configuration, ensuring accurate tracking and analytics. Previously, certain marketing parameters such as gad_source, srsltid, and msclkid were not excluded, leading to potential inaccuracies in data collection.",<https://github.com/magento/magento2/pull/39188>,Framework
AC-10826,Storefront Bundle Checkbox Validation Error message count more than 1,"","The system now displays only one validation error message when the 'Add to Cart' button is clicked without selecting any checkbox options for a bundled product. Previously, the system was displaying multiple validation error messages for each unselected checkbox.",<https://github.com/magento/magento2/commit/3ea26621>,Bundle
AC-10886,admin Password update.,https://github.com/magento/magento2/issues/38352,"",<https://github.com/magento/magento2/commit/4bca5dfe>,Account
AC-11592,[Issue] Allow only valid preferences during setup:di:compile,https://github.com/magento/magento2/issues/38517,"The system now throws an error during the setup:di:compile command if a preference is created for a class that does not exist or is specifically excluded, ensuring that only valid preferences are allowed. Previously, these scenarios would fail silently, potentially rendering any plugins associated with the original classes useless.",<https://github.com/magento/magento2/pull/33161>,Framework
AC-11718,Redirect loop when URL have uppercase,https://github.com/magento/magento2/issues/38538,"The system now automatically converts uppercase characters in URLs to lowercase, preventing a redirect loop when accessing the homepage. Previously, having uppercase characters in the Secure Base URL would cause a continuous redirect loop when trying to access the homepage.",<https://github.com/magento/magento2/pull/38539>,Account
AC-11809,[Issue] Pass custom attributes to current link via XML,https://github.com/magento/magento2/issues/38500,"The system now allows custom attributes to be passed to the current link via XML, ensuring that these attributes are correctly displayed even when the link is the current page. Previously, custom attributes were not displayed for the current page link due to the getAttributesHtml() method not being used for the current link.",<https://github.com/magento/magento2/pull/30070>,Framework
AC-11914,[Issue] Sales rule CartFixed calculation : incorrect discount amount,https://github.com/magento/magento2/issues/38694,"The system now correctly calculates the discount amount for sales rules with cart fixed amounts, ensuring accurate discounts are applied regardless of changes in cart items. Previously, the discount amount could vary incorrectly when cart items changed, sometimes resulting in significantly larger discounts than expected.",<https://github.com/magento/magento2/commit/581b7ef1>,Cart & Checkout
AC-11932,Default Product Attribute Settings Issue,https://github.com/magento/magento2/issues/38703,"The system now allows users to deselect a default option for a product attribute, ensuring that the attribute does not always have a default set. Previously, once a default was set for a product attribute, there was no way to deselect it, resulting in the attribute always having a default set.",<https://github.com/magento/magento2/commit/7d5e3906>,Performance
AC-11970,Imposible to reorder configurable products with one checkbox selected custom option,https://github.com/magento/magento2/issues/38736,"The system now correctly processes the reordering of configurable products with a single selected checkbox custom option, allowing for successful basket creation. Previously, attempting to reorder such products resulted in an error and prevented items from being added to the shopping cart.",<https://github.com/magento/magento2/commit/1d144bce>,Catalog
AC-12127,[Issue] avoid a misconfiguration infinite loop,https://github.com/magento/magento2/issues/38822,"The system now avoids an infinite loop by preventing self-referential mapping in virtual type configurations. This ensures the application does not get stuck in an endless loop when attempting to dereference a self-referential node. Previously, if a virtual type configuration was self-referential, it would cause the application to spin indefinitely.",<https://github.com/magento/magento2/pull/38794>,Framework
