Issue key,Summary,Custom field (External Issue URL),Custom field (Release Note),Custom field (Git Pull Request),Components,is_magento
AC-10037,[Question]Unused Type configuration in `app/code/Magento/Translation/etc/di.xml`,https://github.com/magento/magento2/issues/38030,"The system now removes unused dependencies in the configuration, enhancing the overall code cleanliness and efficiency. Previously, there were unused dependencies in the configuration which were not contributing to any functionality.",<https://github.com/magento/magento2/pull/38064>,Framework,true
AC-10042,/V1/transactions REST API returns error when parent_txn_id = txn_id,"","The system now correctly handles the parent and child concept transactions where the parent transaction ID is the same as the transaction ID, preventing an infinite loop when querying the /V1/transactions REST API endpoint. Previously, this scenario would result in a fatal error due to maximum execution time being exceeded.",<https://github.com/magento/magento2/commit/1bafc571>,APIs,true
AC-10535,Special characters in configurable associate product name are  being Converted to HTML Entities.,https://github.com/magento/magento2/issues/38146,"The system now correctly retains special characters in the names of associated products when editing a configurable product, preventing them from being converted into HTML entities. Previously, special characters in associated product names were converted into HTML entities when the configurable product was edited.",<https://github.com/magento/magento2/pull/38447>,Product,true
AC-10539,[Issue]  issue with the price display in the Recently Viewed widget,https://github.com/magento/magento2/issues/38167,"The system now correctly displays the price of out-of-stock simple products in the ""Recently Viewed Product"" widget, ensuring consistency across all widgets and product list pages. Previously, the price of out-of-stock simple products was not displayed in the ""Recently Viewed Product"" widget due to a condition in the price loading templates.",<https://github.com/magento/magento2/pull/38159>,Content,true
AC-10596,[Issue] Correct typo and grammar in acl.xsd file,https://github.com/magento/magento2/issues/38061,"The system now corrects a typo and grammar error in the acl.xsd file, enhancing the clarity and accuracy of the documentation. Previously, the acl.xsd file contained a typo and incorrect grammar which could potentially cause confusion.",<https://github.com/magento/magento2/pull/38046>,Content,true
AC-10654,V1/customers/password endpoint question/issue,https://github.com/magento/magento2/issues/38238,"The system now adheres to the constraints set within the management GUI when processing password change requests via the API, preventing potential abuse of the password reset function. Previously, the API could process password change requests outside of the rules defined in the management GUI, potentially allowing for a constant stream of reset emails if valid emails were known.",<https://github.com/magento/magento2/commit/0c53bbf7>,Framework,true
AC-10658,[Issue] Fix HTML syntax error in visual.phtml,https://github.com/magento/magento2/issues/38247,"The system now correctly closes the start tag in the visual.phtml file, ensuring proper HTML syntax. Previously, the start tag was not closed properly, causing an HTML syntax error.",<https://github.com/magento/magento2/pull/37457>,Other Developer Tools,true
AC-10660,Exception is not getting handled properly while adding a product to cart in the compare product page,https://github.com/magento/magento2/issues/38200,"The system now properly handles exceptions when adding a product to the cart from the compare product page, displaying a message manager message in the controller. Previously, an exception would result in a JSON encoded page being returned instead of being properly caught and handled.","<https://github.com/magento/magento2/pull/38257>, <https://github.com/magento/magento2/commit/0c53bbf7>",Cart & Checkout,true
AC-10698,GTag not send transaction prices and totals.,https://github.com/magento/magento2/issues/37348,"The system now correctly sends transaction prices and totals to Google Tag when GTag is enabled, ensuring accurate tracking of ecommerce data. Previously, the currency was incorrectly being sent as part of the ""all"" orders, rather than being associated with the individual order.","<https://github.com/magento/magento2/pull/37504>, <https://github.com/magento/magento2/pull/37349>",Cart & Checkout,true
AC-10705,"[Issue] add permission check for ""reload data"" data button",https://github.com/magento/magento2/issues/38283,"The system now includes a permission check for the ""Reload Data"" button, ensuring that it is only displayed and accessible to users with the appropriate permissions. Previously, the ""Reload Data"" button was visible and clickable for all users, leading to a ""not permitted"" page when clicked by users without the necessary permissions.",<https://github.com/magento/magento2/pull/38279>,Admin UI,true
